Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Captive deaths during crossing,Duration of captives' crossing (in days),Crew at voyage outset
1836,5003,Lorencita,"Africa, port unspecified",Havana,490,444,,,
1836,5004,Agripina,"Africa, port unspecified",Havana,490,444,,,
1838,5046,Estrella,River Brass,"Cuba, port unspecified",300,1,299,,
1838,5051,D Pedro,Cape Verde Islands,Maranhão,138,122,,,
1838,5081,Jacuí,Novo Redondo,Macaé,411,369,,32,
1839,5083,Goliubchick,,,,,,,
1837,5501,Esperança,Luanda,"Bahamas, port unspecified",240,220,,,
1838,5502,Washington,"Africa, port unspecified","Bahamas, port unspecified",535,440,,,
1837,34697,Voltigeur,"Africa, port unspecified","Dominica, place unspecified",489,443,,,
1835,39037,Belencita,"Africa, port unspecified",Havana,411,369,,,
1838,39038,Emprendedor (a) Boca Negra,"Africa, port unspecified",Havana,278,250,,,
1839,39039,Brillante,"Africa, port unspecified","Cuba, port unspecified",411,369,,,
1839,39040,Dos Amigos (a) Constancia,,,,,,,
1835,39049,Mercedita,Cabinda,Havana,411,369,,,
1838,39058,Esplorador,Mozambique,Havana,560,200,360,,
1838,39093,Diogenes,Mozambique,,490,444,,,
1836,40269,Recuperador,Benguela,Rio de Janeiro province,490,444,,,
1836,40274,Heroína,"West Central Africa and St. Helena, port unspecified",Rio de Janeiro,307,277,,,11
1837,41846,Brilhante,Mozambique,"Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,214,15
1837,41849,D Manoel de Portugal,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,46,13
1836,41862,Amizade Feliz,Benguela,Rio de Janeiro province,257,242,,,
1836,41863,Ligeira,Benguela,Rio de Janeiro province,307,277,,,
1836,41864,Pensamento Feliz,Benguela,Rio de Janeiro province,257,242,,,
1836,41865,União Feliz,Benguela,Rio de Janeiro province,118,105,,,
1836,41866,Zenóbia,Benguela,Rio de Janeiro province,257,242,,,
1837,41867,Especulador,Benguela,Rio de Janeiro province,118,105,,,
1837,41868,Júlia,Benguela,Rio de Janeiro province,257,242,,,
1837,41869,Ligeiro,Benguela,Rio de Janeiro province,118,105,,,
1837,41870,Palanque,Benguela,Rio de Janeiro province,118,105,,,
1837,41871,Reis,Benguela,Rio de Janeiro province,118,105,,,
1838,41872,Congresso,Benguela,Rio de Janeiro province,118,105,,,
1838,41873,Experiência,Benguela,Rio de Janeiro province,490,444,,,
1838,41874,Flor da África,Benguela,Rio de Janeiro province,118,105,,,
1838,41875,Júlia,Benguela,Rio de Janeiro province,257,242,,,
1838,41876,Ligeiro,Benguela,Rio de Janeiro province,118,105,,,
1838,41877,Mariana,Benguela,Rio de Janeiro province,307,277,,,
1838,41878,Rio Tâmega,Benguela,Rio de Janeiro province,257,242,,,
1835,41879,Ativo,Benguela,Rio de Janeiro province,118,105,,,
1835,41880,Rio Tâmega,Benguela,Rio de Janeiro province,257,242,,,
1837,41884,Feliz Viajante,Ambriz,Rio de Janeiro province,376,335,,,
1839,41891,Esperança,Quilimane,Campos,733,600,,,
1839,46253,Maria Virgínia,,,17,15,,,
1837,46258,Flor de África,Luanda,,490,444,,28,12
1837,46259,Ascânio,"West Central Africa and St. Helena, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,55,14
1837,46260,Especulador,Cape Verde Islands,Rio de Janeiro,490,444,,17,13
1836,46261,Feliz Intriga,"West Central Africa and St. Helena, port unspecified",Rio de Janeiro province,118,105,,,
1836,46262,Tentador,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,53,12
1836,46263,Rio Mondego,"West Central Africa and St. Helena, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,67,12
1836,46264,Quatorze de Julho,Quilimane,"Rio de Janeiro, Sao Paulo, Santa Catarina",307,277,,67,13
1836,46265,Pérola,"West Central Africa and St. Helena, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,39,14
1836,46266,Júlia,"West Central Africa and St. Helena, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",307,277,,53,14
1836,46267,Jovem Africana,"West Central Africa and St. Helena, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,51,14
1836,46268,Fortuna de África,"West Central Africa and St. Helena, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,51,13
1836,46270,Dublin,Mozambique,"Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,122,22
1836,46271,Adamastor,Quilimane,"Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,71,18
1835,46272,Leão,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,51,14
1835,46273,Intriga,"West Central Africa and St. Helena, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,,
1835,46274,Duquesa de Bragança,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,73,11
1835,46276,Tentador,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,40,12
1835,46277,Nereida,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,76,15
