Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Captive deaths during crossing,Duration of captives' crossing (in days),Crew at voyage outset
1839,1859,Astrea,"Lagos, Onim","Cuba, port unspecified",489,440,,,
1839,1860,Caridad Cubana,Bissau,"Jamaica, place unspecified",175,174,1,27,10
1839,1861,Madalena,"Africa, port unspecified","Cuba, port unspecified",204,184,,,
1839,1862,Fortuna (a) Llobregat,"Lagos, Onim","Cuba, port unspecified",386,350,,,
1839,1863,Felicidad,São Tomé,"Cuba, port unspecified",490,444,,,
1839,1864,Octavia,Popo,"Cuba, port unspecified",489,423,,,
1839,1865,Porto Formoso (a) Elvira,São Tomé,"Cuba, port unspecified",307,277,,,
1839,1866,Recurso,São Tomé,"Cuba, port unspecified",307,277,,,
1839,1867,Montana,Luanda,"Cuba, port unspecified",307,277,,,
1839,1868,Felicidade (a) Jacinto,"Lagos, Onim","Cuba, port unspecified",490,444,,,
1839,1869,Elisa,Rio Pongo,"Cuba, port unspecified",132,119,,14,
1839,1870,Especulador,Benguela,Rio de Janeiro,304,278,,38,14
1839,1871,Ganges,Quilimane,Rio de Janeiro,463,419,,,14
1839,1872,Carolina,Ambriz,Rio de Janeiro,238,214,,39,
1839,1873,Leal,Ambriz,Rio de Janeiro,402,364,,158,
1839,1874,Casualidade,Ambriz,Guanimar,540,489,,,
1839,1875,Amable Salomé,"Africa, port unspecified","Cuba, port unspecified",353,318,,,
1839,1876,Formosa,"Africa, port unspecified","Cuba, port unspecified",367,330,,,
1839,1877,Frutuosa,"Africa, port unspecified",Canasí,128,115,,,
1839,1878,Júlia,"Whydah, Ouidah",São Sebastião,299,273,,,
1839,1879,Três Corações,Luanda,Rio de Janeiro,284,250,,,
1839,1880,Lísia,Luanda,Ponta Negro,462,419,,,
1839,1881,Silêncio,Inhambane,Campos,482,437,,,
1839,1882,Ninfa,Luanda,Taipu,391,352,,,
1839,1883,Esperança,Mozambique,Ilha Grande,806,730,,,
1839,1884,Maria Carlota,Luanda,Ilha Grande,675,612,,,
1839,1885,Aventureiro,Mozambique,Macaé,754,683,,,
1839,1886,Relâmpago,Congo River,Ponta Negro,717,650,,,
1839,1887,Duque de Vitória,Luanda,Ilha Grande,471,427,,,
1839,1888,D Manoel de Portugal,Quilimane,Campos,788,714,,,
1839,1889,Isabel,Luanda,Paranaguá,886,779,,,
1839,1890,Resolução,Mozambique,Paranaguá,831,753,,,
1839,1891,Raimundo Primeiro,Luanda,São Sebastião,463,413,,,
1839,1892,Dois Irmãos,Luanda,Rio de Janeiro,215,195,,,
1839,1893,Dois de Fevereiro,Luanda,Ponta Negro,457,414,,,
1839,1894,Nereida,Luanda,Ponta Negro,338,304,,,
1839,1895,Dois Irmãos,Cabinda,Ilha Grande,640,580,,,
1839,1896,Portuense,Cabinda,Ilha Grande,584,521,,,
1839,1897,Augerona,Luanda,Rio de Janeiro,331,298,,,
1839,1898,Doze de Outubro,Mozambique,Rio de Janeiro,452,403,,,
1839,1899,Carolina,Quilimane,Paranaguá,744,698,46,,
1839,1900,Bom Jesus,"Africa, port unspecified",Mangaratiba,335,300,,,
1839,1901,Jeová,Luanda,Macaé,556,504,,,
1839,1902,Oito de Dezembro,Luanda,Mangaratiba,89,80,,,
1839,1903,Amizade Constante,Quilimane,Ilha Grande,442,400,,,
1839,1904,Veloz,Luanda,Rio de Janeiro,469,425,,,
1839,1905,Diligência,Luanda,Ponta Negro,429,389,,,
1839,1906,Emília,Luanda,Campos,717,650,,,
1839,1907,Congresso,Benguela,Rio de Janeiro,351,314,,,
1839,1908,Ulisses,Luanda,Campos,574,520,,,
1839,1909,Josefina,Benguela,Rio de Janeiro,313,294,,,
1839,1910,Tentador,Luanda,Rio de Janeiro,367,327,,,
1839,1911,Constância,Quilimane,Campos,681,617,,,
1839,1912,Júpiter,Cabinda,Rio de Janeiro,378,340,,,
1839,1913,Rosa,Mozambique,Campos,673,610,,,
1839,1914,Belona,Congo River,Rio de Janeiro,397,357,,,
1839,1915,Adamastor,Quilimane,Baía de Sepetiba,634,574,,,
1839,1916,S Domingos Enéas,Luanda,Rio de Janeiro,320,290,,,
1839,1917,Comodoro,Mozambique,Rio de Janeiro,773,700,,,
1839,1918,Palas,Luanda,Rio de Janeiro,368,328,,,
1839,1919,Esperança,Cabinda,Campos,415,370,,,
1839,1920,Amélia,Mozambique,Cananéia,662,600,,,
1839,1921,Nova Sociedade,Benguela,Rio de Janeiro,524,475,,,
1839,1922,Dois de Abril,Congo River,Ilha Grande,379,339,,,
1839,1923,Valoroso,Luanda,Rio de Janeiro,309,280,,,
1839,1924,Florinda da África,Benguela,Paranaguá,363,324,,,
1839,1925,Coringa,Luanda,"Pernambuco, place unspecified",376,335,,,14
1839,1926,Livramento (a) Juramento,Luanda,"Pernambuco, place unspecified",307,277,,,14
1839,1927,Maria Rita,Ambriz,"Pernambuco, place unspecified",376,335,,,20
1839,1928,S José,Luanda,"Pernambuco, place unspecified",307,277,,,11
1839,1929,Tindal (a) Quindal,Luanda,"Pernambuco, place unspecified",307,277,,,13
1839,1930,Vinte e Quatro de Julho,Mozambique,"Pernambuco, place unspecified",490,444,,,19
1839,1931,Bonsucesso,Luanda,"Pernambuco, place unspecified",307,277,,,15
1839,1932,Doze de Janeiro,Luanda,"Pernambuco, place unspecified",307,277,,,16
1839,1933,Cospe Fogo,Luanda,"Pernambuco, place unspecified",307,277,,,5
1839,1934,Novo Abismo,Luanda,"Pernambuco, place unspecified",490,444,,,14
1839,1935,Providence,Anomabu,"Pernambuco, place unspecified",150,135,,,14
1839,1936,Lealdade,Cabinda,Maranhão,210,189,,45,13
1839,1937,Amália,Mozambique,"Cuba, port unspecified",1040,840,200,84,
1839,1938,Felicidade,"Lagos, Onim","Cuba, port unspecified",307,277,,64,
1839,1939,Mary,Gallinhas,"Cuba, port unspecified",561,465,,59,
1839,1940,Josefina,São Tomé,"Cuba, port unspecified",307,277,,58,
1839,1941,Maria Segunda (a) Socorro,Mozambique,"Cuba, port unspecified",660,580,,64,
1839,1942,Alexander,Princes Island,"Cuba, port unspecified",673,558,,87,
1839,1948,D João de Castro,Mozambique,Ilha de Marambaia,497,450,,79,20
1839,1949,Novo Destino,Quilimane,Campos,662,600,,72,12
1839,1950,Generoso Feliz,Quilimane,Campos,424,384,,55,13
1839,1951,Rosalina,Quilimane,Rio de Janeiro,411,369,,48,11
1839,1952,Deposit,Ambriz,Rio de Janeiro,118,105,,29,9
1839,1953,Flor de Luanda,Luanda,Ilha Grande,408,370,,28,15
1839,1954,Mariana,Benguela,Rio de Janeiro,307,277,,20,13
1839,1955,Flor de Luanda,Congo River,Macaé,353,320,,47,9
1839,1956,Idália,Luanda,Rio de Janeiro,273,244,,98,13
1839,1957,Quatro de Março,Quilimane,Mangaratiba,607,550,,60,15
1839,1958,Umbelina,Benguela,Macaé,354,317,,39,12
1839,1959,Fortuna da África,Quilimane,Macaé,474,429,,63,11
1839,1960,NS da Conceição Felicidade do Brasil,Luanda,Rio de Janeiro,307,277,,77,13
1839,1961,General Cabreira,Luanda,Rio de Janeiro,140,127,,57,12
1839,1962,Doze de Outubro,Luanda,Ilha Grande,290,263,,63,12
1839,1963,Sociedade,Benguela,Rio de Janeiro,490,444,,24,15
1839,1964,Três de Junho,Benguela,Rio de Janeiro,257,242,,25,14
1839,1965,Andorinha,Ambriz,São Sebastião,313,280,,39,11
1839,1966,Ânimo Grande,Quilimane,Campos,651,590,,51,16
1839,1967,Nova Madalena,São Tomé,"Bahia, place unspecified",307,277,,30,9
1839,1968,NS da Conceição,São Tomé,"Bahia, place unspecified",307,277,,30,11
1839,1969,S Antônio Vitorioso,"Lagos, Onim","Bahia, place unspecified",481,430,,44,20
1839,1970,Margareth,"Whydah, Ouidah","Bahia, place unspecified",490,444,,29,11
1839,1971,Luísa,"Lagos, Onim","Bahia, place unspecified",719,651,,38,10
1839,1972,Duarte Felicidade,"Whydah, Ouidah","Bahia, place unspecified",376,335,,29,16
1839,1973,Maria,"Lagos, Onim","Bahia, place unspecified",307,277,,33,14
1839,1974,Tirso,"Lagos, Onim","Bahia, place unspecified",307,277,,47,7
1839,1975,Dido,"Lagos, Onim","Bahia, place unspecified",490,444,,29,9
1839,1976,Esperança,Luanda,"Pernambuco, place unspecified",307,277,,,13
1839,1977,Esperança,Luanda,"Pernambuco, place unspecified",291,264,,,22
1839,1978,Josefa,Luanda,"Pernambuco, place unspecified",490,444,,28,15
1839,1979,NS da Conceição de Maria,Luanda,"Pernambuco, place unspecified",440,420,20,,19
1839,1980,Ninfa,Luanda,Rio de Janeiro,667,600,,,
1839,1981,Brilhante,Cabinda,Ilha Grande,473,425,,,
1839,1982,Brilhante,Cabinda,Ilha Grande,473,425,,,
1839,1983,Brilhante,Cabinda,Ilha Grande,473,425,,,
1839,1984,Brilhante,Cabinda,Ilha Grande,473,425,,,
1839,1985,Constante,Quilimane,Ilha Grande,828,750,,,
1839,1986,Bonito Porto,Cabinda,Rio de Janeiro,334,300,,,
1839,1987,Gioba,"West Central Africa and St. Helena, port unspecified",Rio de Janeiro,706,640,,,
1839,1988,Dois Amigos,Congo River,Rio de Janeiro,590,530,,,
1839,1989,Asseiceira,Cabinda,Rio de Janeiro,530,480,,,
1839,1990,Rio Zua,Cabinda,Ilha Grande,478,433,,,
1839,1991,Rio Zua,Cabinda,Ilha Grande,478,433,,,
1839,1992,Rio Zua,Cabinda,Ilha Grande,478,433,,,
1839,1993,Paquete de Benguela,Benguela,Ilha Grande,335,300,,,
1839,1994,Elisa,Luanda,Campos,773,700,,,
1839,1995,Rio Zua,Quilimane,Ilha Grande,445,400,,,
1839,1996,Leopoldina,Quilimane,"Rio de Janeiro, Sao Paulo, Santa Catarina",662,600,,,
1839,1997,Pompeo,Congo River,São Sebastião,552,500,,,
1839,1998,Pompeo,Congo River,São Sebastião,497,450,,,
1839,1999,Espadarte,Congo River,São Sebastião,667,600,,,
1839,2000,Flor do Rio,Cabinda,Rio de Janeiro,389,350,,,
1839,2001,Ascânio,Congo River,São Sebastião,334,300,,,
1839,2002,Cingapura,Mozambique,Rio de Janeiro province,662,600,,,
1839,2003,Sumar,Mozambique,São Sebastião,442,400,,,
1839,2004,Recuperador,Benguela,Macaé,447,400,,,
1839,2005,Saudade,Quilimane,São Sebastião,662,600,,,
1839,2006,Mosca,Benguela,São Sebastião,333,300,,,
1839,2007,Brilhante,Benguela,Cabo de Búzios,442,400,,,
1839,2008,Nove Irmãs,Cabinda,Campos,438,400,,,
1839,2009,Belona,Ambriz,São Sebastião,333,300,,,
1839,2010,General Cabreira,Luanda,Taipu,397,360,,,
1839,2011,Tindal,Luanda,"Americas, region unspecified",289,260,,,13
1839,2038,Ligeira,Benguela,Paranaguá,357,321,,,
1839,2039,Resolução,Quilimane,Ilha de Marambaia,465,421,,,
1835,2461,,Rio Pongo,,350,309,,,
1835,2468,Sutil,Calabar,Freetown,335,228,107,40,
1835,2470,Minerva,Calabar,Freetown,676,490,186,36,
1835,2471,Iberia,Bonny,Freetown,313,305,8,29,
1835,2472,Manoelita,Bonny,Freetown,387,375,12,23,
1835,2473,Bienvenida,Gabon,Freetown,430,367,63,33,
1835,2474,Numero Dos,Bonny,Freetown,160,143,17,27,
1835,2477,Volador,Bonny,Freetown,487,440,47,19,
1835,2479,Semiramis,Bonny,Freetown,477,431,46,36,29
1835,2480,Argos,Bonny,Freetown,429,366,63,43,
1835,2481,Conde de Los Andes,River Brass,Freetown,282,269,13,34,
1835,2482,Norma,Bonny,Freetown,236,224,15,31,
1835,2485,General Laborde,"Africa, port unspecified",Trinidad de Cuba,365,300,,,35
1836,2486,Segunda Iberia,Rio Nun,Freetown,264,244,20,24,
1836,2487,Isabella Segunda (a) Cuatra Estrella,Bonny,Freetown,374,332,42,34,
1836,2488,Ligera,Rio Nun,Freetown,198,194,4,33,
1836,2489,Vandolero (a) Estrella,New Calabar,Freetown,377,347,30,40,34
1836,2490,Seis Hermanos,New Calabar,Freetown,190,174,16,26,22
1836,2491,Gaceta,Grand Sestos,Freetown,227,223,4,,15
1835,2492,General Manso,,,,,,,28
1835,2493,Josefa,,,,,,,21
1835,2494,Vitorina,,,,,,,25
1835,2495,Tres Tomasas,,,,,,,18
1836,2496,Rosarito,,,,,,,23
1836,2497,Atafa Primo,,,,,,,13
1836,2498,Zema,,,,,,,17
1836,2499,Matilde,,,,,,,23
1836,2500,Felicia,Bonny,Freetown,425,359,66,31,25
1836,2502,Explorador,,,,,,,29
1836,2503,Golondrina,,,,,,,24
1836,2504,Luisa,,,,,,,
1836,2505,Tridente,,,,,,,29
1836,2506,Cazador Santurzano,,,,,,,
1836,2507,Feliz Vascongada,,,,,,,
1836,2508,Diligência,,,,,,,34
1836,2509,Eliza,,,,,,,26
1836,2510,Maria Manuela,,,,,,,21
1836,2511,Crioulo,Grand Bassa,Nassau,325,307,18,,19
1836,2512,Joven Carolina,Calabar,Freetown,421,388,33,22,23
1836,2513,Mariposa,,,,,,,
1836,2514,Joven Maria,,,,,,,
1836,2515,Galana Josefa,,,,,,,23
1836,2516,General Mina,,,,,,,21
1836,2517,Dos Hermanos (a) Numeros dos,,,,,,,
1836,2518,Mismo (a) Sentinela,,,,,,,
1836,2519,Famosa Primeira,,,,,,,
1836,2520,Atalaya,Bonny,Freetown,121,93,28,29,
1836,2521,Cantabra,,,,,,,19
1836,2522,Luisita,"Africa, port unspecified",Havana,535,440,,,
1836,2523,Luisita,,,,,,,25
1836,2524,Olímpia,Cameroons River,Freetown,284,259,25,33,20
1836,2525,Feliz,Bonny,Freetown,591,490,101,27,40
1836,2526,Esperança,Bights,"Bahia, place unspecified",352,325,,,
1836,2527,Esperança,Bonny,Freetown,438,403,35,23,26
1836,2528,Vitória,Gallinhas,"Americas, port unspecified",278,245,,,
1836,2529,Vitória,Calabar,Freetown,380,319,61,25,
1836,2530,Vigilante,Calabar,Nassau,321,231,90,59,
1836,2531,Quatro de Abril,"Whydah, Ouidah",Freetown,481,463,18,29,28
1836,2533,,Rio Nunez,Matanzas,300,265,,,
1836,2534,,Rio Nunez,,278,246,,,
1836,2535,Paquete da Madeira,Mozambique,,200,164,,,
1836,2536,Esperança,Benguela,Trinidad de Cuba,401,367,,,36
1836,2537,San Nicolas,,,,,,,26
1837,2538,Schemer,Rio Pongo,Freetown,49,49,0,,10
1836,2539,Experimento,,,,,,,15
1837,2540,Gata,Bonny,Freetown,111,103,8,29,12
1837,2541,Descubierta,,,,,,,12
1837,2542,Cinco Amigos,,,,,,,19
1837,2543,Dolores,Calabar,Freetown,315,293,22,25,20
1837,2544,General Ricafort,,,,,,,20
1837,2545,Paquete de Cabo Verde,Bonny,Freetown,576,466,110,40,32
1837,2546,Esperança,Bonny,Freetown,108,88,20,44,40
1837,2547,Temerário,Bonny,Freetown,352,254,98,33,32
1837,2548,Josefina,"Lagos, Onim",Freetown,350,346,4,26,20
1837,2549,Latona,"Whydah, Ouidah",Freetown,325,321,4,33,18
1837,2551,Cobra da África,Bimbia,Freetown,164,110,54,18,20
1837,2552,Flor do Tejo,Gallinhas,Nassau,465,417,48,,26
1837,2553,Primorosa,Bonny,Freetown,189,143,46,24,16
1837,2554,Víbora de Cabo Verde,Bimbia,Freetown,269,223,46,40,
1837,2555,D Francisco,"Whydah, Ouidah","Barbados, place unspecified",439,433,6,52,
1837,2556,Florida,"Lagos, Onim","Grenada, place unspecified",296,280,16,46,
1836,2557,Florida,"Lagos, Onim","Cuba, port unspecified",352,335,,,
1837,2558,Felicidade,Bonny,Freetown,335,286,49,29,26
1837,2559,Traga Milhas,Sherbro,Antonia,324,280,44,46,
1837,2560,Ligeira,River Brass,Freetown,313,290,23,34,
1836,2561,Nova União,"Africa, port unspecified","Cuba, port unspecified",213,175,,,
1836,2562,Dois Irmãos,"Africa, port unspecified","Cuba, port unspecified",207,170,,,
1836,2563,Isabel,"Africa, port unspecified","Cuba, port unspecified",571,470,,,
1836,2564,Isabel Segunda (a) Felicidad,"Africa, port unspecified","Cuba, port unspecified",698,593,,,
1838,2565,Dido,"Lagos, Onim","Bahia, place unspecified",575,570,5,,
