Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Duration of captives' crossing (in days),Captain's name
1830,1158,Campeadora,Congo River,"Bahia, place unspecified",267,240,41,"Crose, J L"
1830,1161,Flor de Etiópia,Congo River,"Bahia, place unspecified",143,129,49,"Matos, J U dos A E"
1830,1162,Carlota,Congo River,"Bahia, place unspecified",285,279,27,"Costa, José Francisco da"
1830,1164,Trindade,Malembo,"Bahia, place unspecified",122,110,37,"Lima, J M de"
1830,1165,Dois Amigos,Cabinda,"Bahia, place unspecified",490,444,43,"Arraia, F T"
1830,1167,Vingadora,Congo River,"Bahia, place unspecified",194,180,36,"Nunes, L"
1830,1170,Baiana,"Africa, port unspecified","Bahia, place unspecified",206,185,93,"Ribeiro, M J"
1830,1184,Elisa,Lourenço Marques,"Pernambuco, place unspecified",534,523,42,"Eurocuia, Francisco José da Silva"
1830,1185,Maria Gertrudes,Luanda,"Pernambuco, place unspecified",252,248,27,"Santana, Marcelino José de"
1830,1186,Sacramento e Prazeres,Luanda,"Pernambuco, place unspecified",355,342,34,"Ressurreição, José Rodrigues da"
1830,1187,NS da Conceição de Maria,"Africa, port unspecified","Pernambuco, place unspecified",193,176,53,"Santos, Joaquim José dos"
1830,1188,NS da Boa Viagem Abismo,Luanda,"Pernambuco, place unspecified",208,196,30,"Correa, Francisco José"
1830,1190,S José Grande,Luanda,Maranhão,389,342,,"Lima, Manoel Gonçalves"
1830,1192,,Luanda,Pará,303,281,44,"Fernandes, A J V"
1830,1193,Asturiana,"Africa, port unspecified",Havana,284,270,,"Dordal, José<br/> Julia, José"
1830,1194,Andromaca,"Africa, port unspecified","Cuba, port unspecified",490,444,,"Gonzalez, R"
1830,1195,Barbarita,"Africa, port unspecified","Cuba, port unspecified",490,444,,"Felin, S<br/> Felin, Salvador"
1830,1196,Amistad Habanera,"Africa, port unspecified","Cuba, port unspecified",284,270,,"Arrarte, Juan Bautista"
1830,1197,Segunda Teresa,"Africa, port unspecified",Havana,449,421,,"Gil, Manuel"
1830,1226,Destemida,"Whydah, Ouidah","Bahia, place unspecified",61,55,,"Arribas, Raimundo de"
1830,1227,Africano Oriental,Mozambique,Rio de Janeiro,377,261,87,"Silva, Joaquim Alves da<br/> Nobrega, M P da"
1830,1228,Elisa,Lourenço Marques,Rio de Janeiro,519,428,49,"Ramalho, Antônio José de Oliveira<br/> Silva, Joaquim Alves da"
1830,1229,D Estevão de Ataíde,Mozambique,Rio de Janeiro,386,376,82,"Franco, Joaquim Antônio"
1830,2406,Maria de la Concepción,Rio Pongo,Freetown,79,79,,"Comas, Santiago"
1830,2407,Manzanares,Gallinhas,Freetown,354,349,,"Alcântara, Manoel"
1830,2409,Loreto (a) Corunera,Little Bassa,Freetown,186,183,,"Vega, Miguel de la<br/> Basurto, José Garcia"
1830,2410,Santiago (a) Polasqui,Bonny,Freetown,165,156,21,"Golgete, Francesco de Paula"
1830,2411,Speculation,Rio Pongo,,278,246,,
1830,2412,Pajarito,Calabar,Freetown,293,233,30,"Romero, Fortunato"
1830,2413,Atafa Primo,,,,,,"Maury, José"
1830,2414,Nueva Isabelita (a) Numero Un,Grand Bassa,Freetown,141,140,,"Xiro, Filomeno"
1830,2415,Alcide,"Africa, port unspecified",,535,440,,
1830,2419,Dos Amigos,Cameroons River,Freetown,319,263,,"Muxica, Juan Ramon de"
1830,2423,Veloz Pasajera,Jacquin,Freetown,556,534,35,"Vega, Jose Antonio de la"
1830,2425,Maria,Rio Pongo,Freetown,35,35,,"Bergstrand, Carlos Magnus"
1830,2426,Maria,Rio Nunez,"Americas, port unspecified",278,245,,
1830,2427,Ninfa,Rio Pongo,Freetown,167,167,,"Bracon, Juan Baptista"
1830,2428,Actif,Bonny,Havana,420,346,,Pouponneau
1830,2859,Pierre,Princes Island,,490,444,,"Thuez, Charles François"
1830,2864,Emilie,Rio Pongo,,148,131,,
1830,2865,,"Sierra Leone, port unspecified",,295,260,,
1830,2866,Jeune Emiline,Sherbro,Caribbean (colony unspecified),285,251,,
1830,2867,Duc de Bordeux,Bonny,,567,467,,"Delascour, L M"
1830,2868,Lynx,Bonny,"Cuba, port unspecified",320,300,,"Jarnou, Charles"
1830,2870,Hermoine,Calabar,,135,111,,Barthelemy
1830,3027,Emília,"Whydah, Ouidah",Freetown,187,171,35,"Silva, Manoel Simões da"
1830,3028,Lêndea,"Lagos, Onim",Freetown,184,172,41,"Uraga, Pedro José de"
1830,3029,NS da Guia,"Lagos, Onim",Freetown,310,252,45,"Soares, José Fernandes"
1830,3030,Primeira Rosália,"Lagos, Onim",Freetown,282,251,51,"Sabino, João"
1830,3031,Umbelina,"Lagos, Onim",Freetown,377,183,59,"Santos, João Cardoso dos"
1830,3032,Nova Resolucão,Keta,Freetown,43,42,30,"Cruz, Januário José da"
1830,3035,Voadora,Cape Verde Islands,Maranhão,225,200,,
1830,3036,União,"Africa, port unspecified",Maranhão,535,440,,
1830,3037,Prudência,"Africa, port unspecified",Maranhão,535,440,,
1830,3283,Amis (a) Paul,Bonny,,431,355,,
1830,5022,S Rosa,Cabinda,Rio de Janeiro,430,428,39,
1830,5023,Feliz União,Cabinda,Rio de Janeiro,288,268,30,
1830,34636,Auguste (a) Deux Frères,Bonny,"Martinique, place unspecified",490,444,,"Santuary, François Julien"
